predicate1,workerid,class1,response,Answer.time_in_minutes,noun,nounclass,class2,predicate2,slide_number
metal,0,material,0.61,1.63785,couch,furniture,size,small,3
green,0,color,0.87,1.63785,TV,furniture,material,wooden,4
wooden,0,material,0.16,1.63785,cheese,food,age,fresh,5
yellow,0,color,0.78,1.63785,cheese,food,size,huge,6
hard,0,texture,0.88,1.63785,desk,furniture,color,green,7
big,0,size,0.24,1.63785,cheese,food,texture,hard,8
yellow,0,color,0.78,1.63785,tomato,food,material,wooden,9
old,0,age,0.21,1.63785,tomato,food,color,red,10
purple,0,color,0.05,1.63785,TV,furniture,texture,soft,11
blue,0,color,0.07,1.63785,TV,furniture,material,metal,12
new,0,age,0.87,1.63785,tomato,food,color,yellow,13
big,0,size,0.97,1.63785,apple,food,age,new,14
huge,0,size,0.11,1.63785,banana,food,color,blue,15
soft,0,texture,0.96,1.63785,TV,furniture,material,metal,16
red,0,color,0.12,1.63785,fan,furniture,material,wooden,17
fresh,0,age,0.14,1.63785,apple,food,color,blue,18
metal,0,material,0.1,1.63785,carrot,food,size,long,19
big,0,size,0.16,1.63785,couch,furniture,material,metal,20
purple,0,color,0.85,1.63785,carrot,food,size,tiny,21
brown,0,color,0.24,1.63785,carrot,food,age,fresh,22
soft,0,texture,0.91,1.63785,TV,furniture,color,blue,23
old,0,age,0.1,1.63785,fan,furniture,quality,bad,24
yellow,0,color,0.02,1.63785,carrot,food,texture,smooth,25
rotten,0,age,0.14,1.63785,couch,furniture,material,plastic,26
smooth,0,texture,0.91,1.63785,tomato,food,color,purple,27
green,0,color,0.89,1.63785,carrot,food,size,short,28
purple,1,color,0,1.81595,desk,furniture,size,small,3
soft,1,texture,0,1.81595,tomato,food,age,old,4
old,1,age,1,1.81595,tomato,food,texture,smooth,5
short,1,size,1,1.81595,apple,food,quality,bad,6
smooth,1,texture,0,1.81595,tomato,food,size,tiny,7
big,1,size,1,1.81595,cheese,food,material,plastic,8
round,1,shape,0,1.81595,apple,food,size,huge,9
huge,1,size,1,1.81595,cheese,food,material,plastic,10
yellow,1,color,0,1.81595,tomato,food,texture,smooth,11
tiny,1,size,1,1.81595,desk,furniture,shape,round,12
smooth,1,texture,0,1.81595,apple,food,size,tiny,13
long,1,size,1,1.81595,banana,food,color,purple,14
brown,1,color,0,1.81595,desk,furniture,shape,round,15
brown,1,color,0,1.81595,desk,furniture,shape,round,16
metal,1,material,0,1.81595,carrot,food,texture,soft,17
metal,1,material,0,1.81595,apple,food,size,long,18
good,1,quality,0,1.81595,carrot,food,age,new,19
new,1,age,1,1.81595,carrot,food,texture,hard,20
short,1,size,1,1.81595,chair,furniture,age,rotten,21
metal,1,material,0,1.81595,tomato,food,color,blue,22
green,1,color,1,1.81595,couch,furniture,material,wooden,23
soft,1,texture,1,1.81595,chair,furniture,age,rotten,24
old,1,age,0,1.81595,banana,food,size,tiny,25
wooden,1,material,0,1.81595,banana,food,quality,bad,26
old,1,age,1,1.81595,carrot,food,color,purple,27
good,1,quality,1,1.81595,desk,furniture,color,blue,28
blue,2,color,0.22,1.9242666666666666,chair,furniture,shape,round,3
small,2,size,0.8,1.9242666666666666,carrot,food,shape,round,4
new,2,age,0.84,1.9242666666666666,TV,furniture,material,metal,5
metal,2,material,0.16,1.9242666666666666,chair,furniture,age,old,6
green,2,color,0.09,1.9242666666666666,TV,furniture,quality,good,7
good,2,quality,0.91,1.9242666666666666,chair,furniture,texture,hard,8
smooth,2,texture,0.5,1.9242666666666666,apple,food,color,green,9
bad,2,quality,0.08,1.9242666666666666,banana,food,age,new,10
green,2,color,0.49,1.9242666666666666,banana,food,size,tiny,11
rotten,2,age,0.17,1.9242666666666666,fan,furniture,quality,bad,12
soft,2,texture,0.52,1.9242666666666666,tomato,food,color,red,13
good,2,quality,0.87,1.9242666666666666,carrot,food,color,blue,14
old,2,age,0.47,1.9242666666666666,tomato,food,color,purple,15
small,2,size,0.9,1.9242666666666666,apple,food,color,purple,16
hard,2,texture,0.85,1.9242666666666666,banana,food,age,fresh,17
good,2,quality,0.49,1.9242666666666666,apple,food,color,green,18
good,2,quality,0.6,1.9242666666666666,desk,furniture,color,green,19
wooden,2,material,0.19,1.9242666666666666,tomato,food,age,rotten,20
hard,2,texture,0.8,1.9242666666666666,couch,furniture,size,small,21
green,2,color,0.88,1.9242666666666666,tomato,food,material,plastic,22
soft,2,texture,0.16,1.9242666666666666,apple,food,size,short,23
wooden,2,material,0.36,1.9242666666666666,cheese,food,quality,bad,24
green,2,color,0.37,1.9242666666666666,cheese,food,size,tiny,25
plastic,2,material,0.39,1.9242666666666666,apple,food,color,brown,26
good,2,quality,0.49,1.9242666666666666,desk,furniture,size,huge,27
plastic,2,material,0.14,1.9242666666666666,chair,furniture,color,green,28
hard,3,texture,0.47,1.80215,TV,furniture,age,new,3
hard,3,texture,1,1.80215,chair,furniture,age,rotten,4
smooth,3,texture,1,1.80215,desk,furniture,material,plastic,5
metal,3,material,0,1.80215,banana,food,color,purple,6
square,3,shape,0.5,1.80215,tomato,food,material,wooden,7
small,3,size,1,1.80215,banana,food,age,old,8
green,3,color,0,1.80215,cheese,food,size,big,9
smooth,3,texture,1,1.80215,desk,furniture,age,rotten,10
square,3,shape,0,1.80215,desk,furniture,quality,good,11
bad,3,quality,1,1.80215,couch,furniture,age,rotten,12
new,3,age,1,1.80215,cheese,food,size,short,13
smooth,3,texture,1,1.80215,banana,food,shape,square,14
metal,3,material,0,1.80215,couch,furniture,texture,soft,15
big,3,size,1,1.80215,desk,furniture,quality,bad,16
bad,3,quality,1,1.80215,fan,furniture,material,plastic,17
rotten,3,age,0,1.80215,chair,furniture,color,yellow,18
tiny,3,size,0,1.80215,cheese,food,texture,hard,19
bad,3,quality,0,1.80215,chair,furniture,material,plastic,20
smooth,3,texture,0,1.80215,desk,furniture,quality,good,21
tiny,3,size,0,1.80215,TV,furniture,quality,bad,22
huge,3,size,0.51,1.80215,chair,furniture,texture,smooth,23
short,3,size,0.5,1.80215,desk,furniture,material,wooden,24
short,3,size,1,1.80215,fan,furniture,quality,bad,25
big,3,size,1,1.80215,couch,furniture,color,yellow,26
plastic,3,material,0,1.80215,chair,furniture,color,red,27
yellow,3,color,0,1.80215,fan,furniture,size,small,28
tiny,4,size,0.19,1.0777166666666667,tomato,food,color,purple,3
red,4,color,0.51,1.0777166666666667,banana,food,quality,bad,4
rotten,4,age,0.53,1.0777166666666667,fan,furniture,size,tiny,5
soft,4,texture,0.54,1.0777166666666667,couch,furniture,size,long,6
square,4,shape,0.53,1.0777166666666667,chair,furniture,material,metal,7
green,4,color,0.53,1.0777166666666667,couch,furniture,size,long,8
square,4,shape,0.54,1.0777166666666667,desk,furniture,size,big,9
brown,4,color,0.51,1.0777166666666667,banana,food,texture,smooth,10
old,4,age,0.53,1.0777166666666667,TV,furniture,size,huge,11
soft,4,texture,0.47,1.0777166666666667,chair,furniture,age,rotten,12
good,4,quality,0.46,1.0777166666666667,fan,furniture,color,red,13
old,4,age,0.46,1.0777166666666667,banana,food,material,metal,14
huge,4,size,0.52,1.0777166666666667,banana,food,color,yellow,15
new,4,age,0.51,1.0777166666666667,apple,food,shape,round,16
huge,4,size,0.47,1.0777166666666667,cheese,food,color,brown,17
big,4,size,0.47,1.0777166666666667,fan,furniture,color,red,18
plastic,4,material,0.47,1.0777166666666667,banana,food,age,rotten,19
new,4,age,0.52,1.0777166666666667,apple,food,color,red,20
short,4,size,0.39,1.0777166666666667,chair,furniture,shape,square,21
wooden,4,material,0.47,1.0777166666666667,apple,food,texture,smooth,22
long,4,size,0.44,1.0777166666666667,chair,furniture,texture,hard,23
brown,4,color,0.5,1.0777166666666667,couch,furniture,age,new,24
purple,4,color,0.51,1.0777166666666667,apple,food,age,fresh,25
hard,4,texture,0.46,1.0777166666666667,chair,furniture,color,yellow,26
good,4,quality,0.42,1.0777166666666667,carrot,food,age,old,27
yellow,4,color,0.49,1.0777166666666667,couch,furniture,age,old,28
round,5,shape,0.23,2.520583333333333,couch,furniture,size,big,3
old,5,age,0.85,2.520583333333333,chair,furniture,size,short,4
short,5,size,0.87,2.520583333333333,banana,food,quality,bad,5
soft,5,texture,0.22,2.520583333333333,desk,furniture,size,short,6
yellow,5,color,0.21,2.520583333333333,cheese,food,age,fresh,7
old,5,age,0.72,2.520583333333333,carrot,food,size,huge,8
new,5,age,0.88,2.520583333333333,tomato,food,color,yellow,9
good,5,quality,0.46,2.520583333333333,desk,furniture,size,huge,10
good,5,quality,0.25,2.520583333333333,carrot,food,size,small,11
long,5,size,0.89,2.520583333333333,cheese,food,color,red,12
fresh,5,age,0.8,2.520583333333333,apple,food,color,red,13
yellow,5,color,0.06,2.520583333333333,cheese,food,size,big,14
round,5,shape,0.55,2.520583333333333,chair,furniture,quality,good,15
wooden,5,material,0.21,2.520583333333333,TV,furniture,texture,smooth,16
hard,5,texture,0.25,2.520583333333333,TV,furniture,size,big,17
long,5,size,0.91,2.520583333333333,chair,furniture,texture,smooth,18
hard,5,texture,0.75,2.520583333333333,chair,furniture,color,blue,19
bad,5,quality,0.8,2.520583333333333,couch,furniture,color,yellow,20
yellow,5,color,0.14,2.520583333333333,banana,food,texture,hard,21
new,5,age,0.85,2.520583333333333,carrot,food,size,tiny,22
wooden,5,material,0.17,2.520583333333333,couch,furniture,color,green,23
yellow,5,color,0.63,2.520583333333333,tomato,food,material,wooden,24
purple,5,color,0.12,2.520583333333333,desk,furniture,size,huge,25
old,5,age,0.15,2.520583333333333,TV,furniture,quality,good,26
brown,5,color,0.82,2.520583333333333,desk,furniture,material,wooden,27
round,5,shape,0.92,2.520583333333333,apple,food,color,purple,28
hard,6,texture,0,4.8647833333333335,fan,furniture,age,old,3
short,6,size,1,4.8647833333333335,carrot,food,texture,hard,4
huge,6,size,0,4.8647833333333335,cheese,food,color,green,5
soft,6,texture,0,4.8647833333333335,banana,food,color,red,6
square,6,shape,0,4.8647833333333335,banana,food,color,blue,7
yellow,6,color,0,4.8647833333333335,tomato,food,size,long,8
fresh,6,age,0.17,4.8647833333333335,banana,food,texture,smooth,9
