,class,firstutterance,noun,nounclass,predicate,response,slide_number,language,age,gender,Browser,OS,screenH,screenW,time_in_minutes,participant_id,assess
0,size,positive,apple,food,tiny,0.42,3,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
1,texture,negative,chair,furniture,hard,0.82,4,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
2,quality,negative,TV,furniture,good,0.55,5,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
3,age,positive,fan,furniture,fresh,0.88,6,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
4,nationality,negative,tomato,food,French,0.11,7,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
5,color,negative,couch,furniture,blue,0.85,8,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
6,size,negative,fan,furniture,long,0.17,9,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
7,size,positive,apple,food,big,0.95,10,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
8,color,negative,couch,furniture,brown,0.23,11,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
9,size,positive,cheese,food,small,0.83,12,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
10,quality,negative,apple,food,bad,0.24,13,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
11,age,negative,tomato,food,old,0.82,14,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
12,color,positive,chair,furniture,green,0.33,15,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
13,size,negative,couch,furniture,huge,0.78,16,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
14,size,positive,couch,furniture,short,0.54,17,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
15,color,positive,banana,food,purple,0.84,18,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
16,nationality,negative,TV,furniture,American,0.18,19,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
17,shape,positive,carrot,food,round,0.88,20,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
18,color,positive,chair,furniture,yellow,0.26,21,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
19,color,positive,fan,furniture,red,0.83,22,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
20,age,negative,apple,food,rotten,0.36,23,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
21,nationality,negative,fan,furniture,Spanish,0.84,24,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
22,age,positive,chair,furniture,new,0.23,25,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
23,shape,negative,apple,food,square,0.87,26,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
24,texture,negative,desk,furniture,soft,0.31,27,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
25,texture,positive,banana,food,smooth,0.62,28,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
26,pattern,positive,cheese,food,striped,0.83,29,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
27,pattern,negative,tomato,food,dotted,0.13,30,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
28,pattern,negative,couch,furniture,checkered,0.94,31,GREG TEST,GREG,,Safari,Mac,1440,2560,0.64285,1,
0,color,negative,cheese,food,blue,0.99,3,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
1,size,positive,couch,furniture,big,0.03,4,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
2,shape,positive,banana,food,square,0.98,5,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
3,size,negative,desk,furniture,tiny,0.03,6,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
4,quality,negative,desk,furniture,bad,0.0,7,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
5,size,negative,tomato,food,long,0.28,8,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
6,texture,positive,carrot,food,soft,0.37,9,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
7,size,negative,fan,furniture,small,0.01,10,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
8,texture,negative,carrot,food,smooth,0.77,11,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
9,nationality,negative,couch,furniture,American,0.97,12,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
10,shape,negative,apple,food,round,0.49,13,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
11,color,negative,banana,food,brown,0.74,14,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
12,age,positive,tomato,food,fresh,0.73,15,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
13,color,negative,fan,furniture,red,0.98,16,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
14,size,negative,banana,food,short,0.23,17,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
